iter	Passed	Remaining
0	179	179274
1	199	99662
2	226	75205
3	245	61239
4	266	53099
5	287	47579
6	310	44001
7	333	41415
8	352	38803
9	375	37191
10	399	35959
11	426	35124
12	452	34391
13	484	34094
14	508	33359
15	532	32753
16	554	32052
17	574	31323
18	590	30485
19	610	29911
20	627	29260
21	653	29044
22	673	28595
23	695	28284
24	725	28291
25	749	28070
26	768	27685
27	790	27454
28	814	27270
29	836	27050
30	856	26777
31	874	26467
32	893	26191
33	913	25949
34	928	25592
35	946	25347
36	962	25038
37	989	25049
38	1010	24893
39	1035	24846
40	1056	24714
41	1075	24538
42	1098	24437
43	1117	24286
44	1140	24209
45	1159	24050
46	1182	23970
47	1197	23751
48	1214	23565
49	1237	23516
50	1256	23377
51	1276	23262
52	1293	23115
53	1314	23024
54	1330	22866
55	1351	22781
56	1368	22637
57	1386	22518
58	1404	22407
59	1424	22319
60	1445	22250
61	1463	22147
62	1483	22063
63	1501	21966
64	1518	21847
65	1537	21764
66	1554	21640
67	1573	21568
68	1594	21510
69	1611	21410
70	1627	21289
71	1644	21196
72	1659	21076
73	1680	21030
74	1699	20955
75	1717	20883
76	1735	20807
77	1757	20777
78	1775	20697
79	1793	20621
80	1811	20554
81	1828	20472
82	1845	20385
83	1861	20298
84	1880	20246
85	1897	20170
86	1916	20112
87	1931	20022
88	1950	19965
89	1968	19899
90	1994	19926
91	2015	19887
92	2033	19831
93	2045	19714
94	2062	19648
95	2078	19573
96	2096	19518
97	2112	19439
98	2127	19365
99	2146	19318
100	2166	19280
101	2184	19233
102	2199	19156
103	2221	19135
104	2233	19036
105	2254	19014
106	2272	18964
107	2291	18925
108	2310	18888
109	2327	18829
110	2345	18781
111	2360	18718
112	2376	18657
113	2397	18635
114	2419	18622
115	2437	18577
116	2458	18557
117	2478	18529
118	2499	18504
119	2519	18478
120	2534	18414
121	2552	18370
122	2570	18329
123	2588	18286
124	2605	18241
125	2623	18197
126	2639	18146
127	2657	18104
128	2674	18055
129	2691	18012
130	2708	17967
131	2727	17934
132	2745	17894
133	2765	17874
134	2784	17838
135	2805	17820
136	2829	17823
137	2849	17799
138	2866	17758
139	2883	17715
140	2902	17681
141	2919	17637
142	2937	17605
143	2954	17565
144	2974	17537
145	2993	17511
146	3014	17489
147	3032	17454
148	3049	17419
149	3065	17369
150	3080	17318
151	3097	17282
152	3116	17252
153	3132	17210
154	3150	17174
155	3169	17145
156	3187	17117
157	3206	17087
158	3226	17066
159	3248	17054
160	3269	17039
161	3287	17007
162	3308	16987
163	3326	16955
164	3349	16951
165	3369	16928
166	3389	16909
167	3406	16868
168	3425	16841
169	3442	16807
170	3460	16776
171	3479	16749
172	3498	16725
173	3521	16718
174	3541	16694
175	3559	16664
176	3576	16628
177	3592	16590
178	3609	16557
179	3629	16532
180	3647	16503
181	3665	16475
182	3684	16450
183	3700	16408
184	3715	16369
185	3736	16350
186	3751	16310
187	3774	16303
188	3790	16266
189	3808	16238
190	3827	16213
191	3844	16181
192	3862	16151
193	3882	16131
194	3897	16087
195	3917	16069
196	3937	16048
197	3955	16023
198	3974	15999
199	3993	15972
200	4011	15945
201	4028	15914
202	4046	15888
203	4065	15862
204	4081	15829
205	4102	15812
206	4122	15793
207	4142	15773
208	4161	15748
209	4180	15727
210	4198	15698
211	4215	15667
212	4234	15644
213	4253	15624
214	4273	15603
215	4296	15593
216	4314	15568
217	4332	15539
218	4349	15512
219	4369	15490
220	4386	15463
221	4406	15442
222	4425	15419
223	4444	15395
224	4462	15371
225	4482	15349
226	4501	15328
227	4520	15306
228	4539	15282
229	4560	15266
230	4579	15243
231	4598	15221
232	4615	15191
233	4634	15171
234	4652	15144
235	4669	15117
236	4689	15096
237	4709	15076
238	4726	15050
239	4745	15026
240	4762	15000
241	4782	14980
242	4800	14955
243	4820	14935
244	4840	14915
245	4860	14896
246	4877	14870
247	4896	14848
248	4915	14825
249	4936	14810
250	4957	14793
251	4976	14772
252	4994	14747
253	5014	14726
254	5031	14701
255	5050	14678
256	5072	14663
257	5088	14634
258	5103	14601
259	5120	14573
260	5138	14549
261	5155	14523
262	5175	14503
263	5192	14476
264	5210	14452
265	5230	14432
266	5250	14412
267	5270	14395
268	5289	14372
269	5307	14349
270	5330	14338
271	5347	14311
272	5368	14295
273	5386	14272
274	5405	14252
275	5423	14226
276	5441	14203
277	5458	14175
278	5477	14154
279	5494	14129
280	5515	14113
281	5534	14092
282	5553	14068
283	5574	14054
284	5593	14033
285	5614	14017
286	5635	14000
287	5655	13982
288	5674	13959
289	5690	13931
290	5712	13917
291	5733	13901
292	5753	13882
293	5770	13857
294	5785	13827
295	5801	13798
296	5818	13773
297	5838	13754
298	5854	13725
299	5872	13701
300	5891	13682
301	5908	13656
302	5927	13635
303	5944	13609
304	5964	13590
305	5982	13568
306	5999	13543
307	6019	13524
308	6041	13510
309	6062	13493
310	6083	13476
311	6102	13456
312	6121	13436
313	6141	13417
314	6160	13395
315	6179	13374
316	6197	13353
317	6216	13332
318	6237	13315
319	6253	13289
320	6271	13265
321	6290	13245
322	6307	13221
323	6325	13196
324	6345	13180
325	6365	13160
326	6384	13139
327	6406	13125
328	6425	13104
329	6440	13075
330	6460	13057
331	6478	13034
332	6502	13023
333	6523	13008
334	6539	12981
335	6559	12962
336	6579	12943
337	6602	12932
338	6621	12911
339	6640	12891
340	6659	12869
341	6678	12849
342	6697	12829
343	6714	12803
344	6732	12782
345	6749	12757
346	6766	12734
347	6786	12715
348	6805	12694
349	6822	12670
350	6842	12651
351	6861	12630
352	6879	12608
353	6896	12585
354	6911	12557
355	6929	12535
356	6943	12506
357	6961	12483
358	6979	12461
359	6998	12442
360	7022	12430
361	7044	12414
362	7064	12396
363	7083	12376
364	7103	12358
365	7121	12336
366	7140	12315
367	7155	12288
368	7173	12267
369	7189	12241
370	7208	12220
371	7228	12202
372	7247	12182
373	7268	12165
374	7286	12144
375	7304	12121
376	7320	12097
377	7337	12073
